Pβ2,Pα1,Pβ1,Pα2,P3,ps,pt-wt,ps-wt,V,α,β
-2.301042,-0.832611,-2.2621539999999998,-1.556137,-2.442615,-0.954658,1.339818,0.01936,50.00468,90.0,0.0
0.012456,0.006227,-0.004714,0.002863,0.055215,0.003031,0.052523,0.006057999999999999,10.011407,0.0,-5.0
0.015486,0.016497,-0.0016840000000000002,-0.004378,0.061612,0.003535,0.055216,0.008924,10.017451,5.0,-5.0
0.015823,0.023905000000000003,-0.005051,-0.01431,0.058414999999999995,0.0008400000000000001,0.055721,0.007744000000000001,10.026687,10.0,-5.0
0.012288,0.03754,-0.0074069999999999995,-0.024241000000000002,0.05302900000000001,0.0016820000000000001,0.05891999999999999,0.006564,10.071486,15.0,-5.0
0.004546,0.041244,-0.013804,-0.03451,0.042255,-0.004041,0.054037999999999996,0.002019,10.053218,20.0,-5.0
0.001345,0.048146,-0.017001,-0.041918,0.035351,-0.004546,0.055889,0.00606,10.011426,25.0,-5.0
-0.009428,0.052692,-0.026090000000000002,-0.051344999999999995,0.024578,-0.009764,0.054374,0.0032010000000000003,10.053328,30.0,-5.0
-0.015823,0.05588800000000001,-0.029796,-0.055719000000000005,0.016326,-0.01431,0.05555,0.004041,10.032649,35.0,-5.0
-0.024578,0.055047,-0.039728,-0.061951,0.0032,-0.016328000000000002,0.055047,0.002863,10.025026,40.0,-5.0
-0.036022,0.051175000000000005,-0.05083800000000001,-0.069524,-0.013805000000000001,-0.021545,0.05184999999999999,0.001008,10.035991,45.0,-5.0
0.057069,0.013300000000000001,-0.025754,0.012287000000000001,0.210596,0.008418,0.20891,0.002863,20.050966,0.0,-5.0
0.054879,0.054374,-0.029292000000000002,-0.026091999999999997,0.209923,0.006227,0.208911,0.002863,20.004302,5.0,-5.0
0.046969,0.092252,-0.036695,-0.06497800000000001,0.202346,-0.0025250000000000003,0.20773000000000003,0.002694,20.036076,10.0,-5.0
0.035014,0.128444,-0.04276100000000001,-0.09747,0.189718,-0.008081,0.20857299999999998,0.00421,20.033757,15.0,-5.0
0.01936,0.15622,-0.054206,-0.12221299999999999,0.1675,-0.023569,0.208069,0.002356,20.037051,20.0,-5.0
-0.002187,0.18046,-0.073902,-0.149319,0.136021,-0.035855,0.207394,0.004714,20.001206,25.0,-5.0
-0.029291,0.19696,-0.098984,-0.185678,0.100665,-0.052357,0.208068,0.006901,20.017866,30.0,-5.0
-0.062119999999999995,0.206046,-0.125078,-0.21648900000000001,0.056731,-0.066832,0.207899,0.007405,20.038857,35.0,-5.0
-0.098816,0.209754,-0.15756799999999999,-0.240727,0.012625,-0.07979299999999999,0.207899,0.008924,20.005021,40.0,-5.0
-0.13804,0.20369,-0.19022,-0.26513400000000004,-0.03451,-0.09309400000000001,0.208741,0.009764,20.039906,45.0,-5.0
0.12676300000000001,0.026090000000000002,-0.059762,0.022894,0.474047,0.01431,0.476738,0.002694,30.106984,0.0,-5.0
0.12002399999999999,0.11463799999999999,-0.067338,-0.066158,0.46967,0.007238,0.47640099999999996,0.002187,30.096583,5.0,-5.0
0.10470600000000001,0.20469900000000002,-0.084507,-0.156053,0.45485499999999995,-0.003706,0.476232,0.0031980000000000003,30.052850999999997,10.0,-5.0
0.076426,0.285333,-0.106051,-0.225578,0.422194,-0.026091999999999997,0.476738,0.00421,30.023117000000003,15.0,-5.0
0.041413,0.35654399999999997,-0.13029600000000002,-0.276582,0.375232,-0.054374,0.47539299999999995,0.003366,29.98869,20.0,-5.0
-0.004714,0.41192799999999996,-0.171537,-0.33735299999999996,0.314798,-0.084339,0.47421499999999994,0.004209,30.006376999999997,25.0,-5.0
-0.069695,0.449468,-0.225914,-0.40368000000000004,0.23399299999999998,-0.11867799999999999,0.476065,0.005386,29.918289000000005,30.0,-5.0
-0.141238,0.47051,-0.28887399999999996,-0.47673899999999997,0.134503,-0.151677,0.47775,0.0063939999999999995,30.027861,35.0,-5.0
-0.21934800000000002,0.474383,-0.355872,-0.5415530000000001,0.031141000000000002,-0.178608,0.479265,0.007913,30.005919999999996,40.0,-5.0
-0.303014,0.465461,-0.433643,-0.597944,-0.077437,-0.210427,0.48246199999999995,0.009932,30.007673,45.0,-5.0
0.22406,0.040739,-0.116658,0.033499999999999995,0.839175,0.026258999999999998,0.8393459999999999,-0.00202,40.088071,0.0,-5.0
0.211774,0.200324,-0.130971,-0.129454,0.83076,0.015318000000000002,0.8369859999999999,-0.003032,39.995703,5.0,-5.0
0.179618,0.356039,-0.164805,-0.280285,0.7999539999999999,-0.012456,0.8371549999999999,-0.000673,40.022439,10.0,-5.0
0.134166,0.509061,-0.199818,-0.415798,0.7457480000000001,-0.052524,0.8411950000000001,0.0018520000000000001,40.051621,15.0,-5.0
0.065483,0.628582,-0.24527000000000002,-0.525726,0.664773,-0.10167600000000002,0.8401859999999999,0.002694,40.031829,20.0,-5.0
